1714275000, 25
1714318200, 60
1714324320, 35
1714325400, 35
1714326600, 29
1714329000, 32
1714332000, 31
1714339800, 40
1714347600, 37
1714348800, 35
1714349520, 36
1714350780, 32
1714352760, 36
1714357800, 38
1714361400, 34
1714363200, 37
1714366800, 36
1714369200, 38
1714420800, 35
1714425120, 36
1714428000, 37
1714504200, 42
1714505160, 44
1714506300, 47
1714508100, 51
1714509360, 48
1714512000, 48
1714515240, 48
1714524180, 46
1714525200, 45
1714527000, 43
1714529100, 52
1714590780, 48
1714592580, 47
1714594320, 47
1714595580, 49
1714599000, 48
1714601100, 44
1714603380, 50
1714610820, 50
335820, 1651
